Context (X),Label (y)
because solving this equation df by,0
solving this equation df by dx,0
this equation df by dx equal,0
equation df by dx equal 0,0
df by dx equal 0 could,0
by dx equal 0 could be,0
dx equal 0 could be tricky,0
equal 0 could be tricky where,0
0 could be tricky where we,0
could be tricky where we said,0
be tricky where we said that,0
tricky where we said that solving,0
where we said that solving this,0
we said that solving this equation,0
said that solving this equation is,0
that solving this equation is not,0
solving this equation is not easy,0
this equation is not easy when,0
equation is not easy when solving,0
is not easy when solving these,0
not easy when solving these equations,0
easy when solving these equations are,0
when solving these equations are not,0
solving these equations are not easy,0
these equations are not easy we,0
equations are not easy we have,0
are not easy we have an,0
not easy we have an alternative,0
easy we have an alternative the,0
we have an alternative the alternative,0
have an alternative the alternative is,0
an alternative the alternative is called,0
alternative the alternative is called what,0
the alternative is called what is,0
alternative is called what is that,0
is called what is that alternative,0
called what is that alternative gradient,0
what is that alternative gradient gradient,0
is that alternative gradient gradient descent,0
that alternative gradient gradient descent gradient,0
alternative gradient gradient descent gradient descent,0
gradient gradient descent gradient descent algorithm,0
gradient descent gradient descent algorithm what,0
descent gradient descent algorithm what is,0
gradient descent algorithm what is the,0
descent algorithm what is the this,0
algorithm what is the this gradient,0
what is the this gradient descent,0
is the this gradient descent algorithm,0
the this gradient descent algorithm we,0
this gradient descent algorithm we will,0
gradient descent algorithm we will try,0
descent algorithm we will try to,0
algorithm we will try to understand,0
we will try to understand a,0
will try to understand a gradient,0
try to understand a gradient descent,0
to understand a gradient descent algorithm,0
understand a gradient descent algorithm is,0
a gradient descent algorithm is an,0
gradient descent algorithm is an iterative,0
descent algorithm is an iterative algorithm,0
algorithm is an iterative algorithm it's,0
is an iterative algorithm it's an,0
an iterative algorithm it's an iterative,0
iterative algorithm it's an iterative algorithm,0
algorithm it's an iterative algorithm it,0
it's an iterative algorithm it is,0
an iterative algorithm it is an,0
iterative algorithm it is an iterative,0
algorithm it is an iterative algorithm,0
it is an iterative algorithm this,0
is an iterative algorithm this gradient,0
an iterative algorithm this gradient decent,0
iterative algorithm this gradient decent algorithm,0
algorithm this gradient decent algorithm is,0
this gradient decent algorithm is an,0
gradient decent algorithm is an iterative,0
decent algorithm is an iterative algorithm,0
algorithm is an iterative algorithm it's,0
is an iterative algorithm it's an,0
an iterative algorithm it's an iterative,0
iterative algorithm it's an iterative algorithm,0
algorithm it's an iterative algorithm which,0
it's an iterative algorithm which is,0
an iterative algorithm which is very,0
iterative algorithm which is very easy,0
algorithm which is very easy to,0
which is very easy to implement,0
is very easy to implement in,0
very easy to implement in modern,0
easy to implement in modern computer,0
to implement in modern computer and,0
implement in modern computer and it,0
in modern computer and it works,0
modern computer and it works like,0
computer and it works like this,0
and it works like this first,0
it works like this first we,0
works like this first we make,0
like this first we make a,0
this first we make a guess,0
first we make a guess of,0
we make a guess of what,0
make a guess of what is,0
a guess of what is our,0
guess of what is our x,0
of what is our x we,0
what is our x we will,0
is our x we will guess,0
our x we will guess this,0
x we will guess this what,0
we will guess this what is,0
will guess this what is our,0
guess this what is our x,0
this what is our x is,0
what is our x is pick,0
is our x is pick a,0
our x is pick a random,0
x is pick a random number,0
is pick a random number pick,0
pick a random number pick a,0
a random number pick a random,0
random number pick a random number,0
number pick a random number a,0
pick a random number a random,0
a random number a random number,0
random number a random number as,0
number a random number as random,0
a random number as random number,0
random number as random number let,0
number as random number let me,0
as random number let me say,0
random number let me say x,0
number let me say x kn,1
let me say x kn isn't,0
me say x kn isn't it,0
say x kn isn't it yes,0
x kn isn't it yes let,0
kn isn't it yes let me,0
isn't it yes let me assume,0
it yes let me assume x,0
yes let me assume x not,0
let me assume x not this,0
me assume x not this is,0
assume x not this is your,0
x not this is your first,0
not this is your first guess,0
this is your first guess we,0
is your first guess we would,0
your first guess we would like,0
first guess we would like to,0
guess we would like to find,0
we would like to find what,0
would like to find what is,0
like to find what is we,0
to find what is we would,0
find what is we would like,0
what is we would like to,0
is we would like to find,0
we would like to find x,0
would like to find x star,0
like to find x star its,0
to find x star its first,0
find x star its first guess,0
x star its first guess is,0
star its first guess is first,0
its first guess is first guess,0
first guess is first guess is,0
guess is first guess is x,0
is first guess is x not,1
first guess is x not isn't,0
guess is x not isn't it,0
is x not isn't it because,0
x not isn't it because the,0
not isn't it because the problem,0
isn't it because the problem that,0
it because the problem that we,0
because the problem that we are,0
the problem that we are trying,0
problem that we are trying to,0
that we are trying to solve,0
we are trying to solve here,0
are trying to solve here is,0
trying to solve here is x,0
to solve here is x equal,0
solve here is x equal to,0
here is x equal to argumen,0
is x equal to argumen argumen,0
x equal to argumen argumen of,0
equal to argumen argumen of f,0
to argumen argumen of f of,0
argumen argumen of f of x/,0
argumen of f of x/ x,1
of f of x/ x isn't,0
f of x/ x isn't it,0
of x/ x isn't it so,0
x/ x isn't it so first,0
x isn't it so first it,0
isn't it so first it guesses,0
it so first it guesses whether,0
so first it guesses whether the,0
first it guesses whether the the,0
it guesses whether the the random,0
guesses whether the the random value,0
whether the the random value x,0
the the random value x random,0
the random value x random value,0
random value x random value guess,0
value x random value guess is,0
x random value guess is the,0
random value guess is the random,0
value guess is the random value,0
guess is the random value x,0
is the random value x kn,0
the random value x kn then,0
random value x kn then using,0
value x kn then using this,0
x kn then using this gradient,0
kn then using this gradient decent,0
then using this gradient decent algorithm,0
using this gradient decent algorithm now,0
this gradient decent algorithm now it,0
gradient decent algorithm now it will,0
decent algorithm now it will moves,0
algorithm now it will moves to,0
now it will moves to new,0
it will moves to new value,0
will moves to new value of,0
moves to new value of x1,0
to new value of x1 then,0
new value of x1 then it,0
value of x1 then it will,0
of x1 then it will go,0
x1 then it will go to,0
then it will go to x2,0
it will go to x2 i,0
will go to x2 i can,0
go to x2 i can say,0
to x2 i can say what,0
x2 i can say what is,0
i can say what is the,0
can say what is the procedure,0
say what is the procedure my,0
what is the procedure my x,0
is the procedure my x notot,0
the procedure my x notot is,0
procedure my x notot is first,0
my x notot is first guess,0
x notot is first guess this,0
notot is first guess this x,0
is first guess this x notot,0
first guess this x notot is,0
guess this x notot is first,0
this x notot is first guess,0
x notot is first guess of,0
notot is first guess of what,0
is first guess of what of,0
first guess of what of xar,1
guess of what of xar isn't,0
of what of xar isn't it,0
what of xar isn't it x1,0
of xar isn't it x1 this,0
xar isn't it x1 this x1,0
isn't it x1 this x1 is,0
it x1 this x1 is it,0
x1 this x1 is it it,0
this x1 is it it iteration,0
x1 is it it iteration iteration,0
is it it iteration iteration number,0
it it iteration iteration number one,0
it iteration iteration number one in,0
iteration iteration number one in x1,0
iteration number one in x1 i,0
number one in x1 i can,0
one in x1 i can find,0
in x1 i can find x2,0
x1 i can find x2 x2,0
i can find x2 x2 means,0
can find x2 x2 means iteration,0
find x2 x2 means iteration number,0
x2 x2 means iteration number 2,1
x2 means iteration number 2 isn't,0
means iteration number 2 isn't it,0
iteration number 2 isn't it so,0
number 2 isn't it so on,0
2 isn't it so on xk,0
isn't it so on xk i,0
it so on xk i can,0
so on xk i can say,0
on xk i can say iteration,0
xk i can say iteration k,1
i can say iteration k isn't,0
can say iteration k isn't it,0
say iteration k isn't it yes,0
iteration k isn't it yes which,0
k isn't it yes which is,0
isn't it yes which is very,0
it yes which is very close,0
yes which is very close to,0
which is very close to just,0
is very close to just a,0
very close to just a i,0
close to just a i must,0
to just a i must find,0
just a i must find x,0
a i must find x kn,0
i must find x kn x1,0
must find x kn x1 x2,0
find x kn x1 x2 so,0
x kn x1 x2 so on,0
kn x1 x2 so on xk,0
x1 x2 so on xk this,0
x2 so on xk this xk,0
so on xk this xk which,0
on xk this xk which is,0
xk this xk which is very,0
this xk which is very close,0
xk which is very close to,0
which is very close to x,0
is very close to x star,0
very close to x star objective,0
close to x star objective in,0
to x star objective in this,0
x star objective in this iterative,0
star objective in this iterative algorithm,0
objective in this iterative algorithm is,0
in this iterative algorithm is as,0
this iterative algorithm is as your,0
iterative algorithm is as your iteration,0
algorithm is as your iteration number,0
is as your iteration number increases,0
as your iteration number increases you,0
your iteration number increases you have,0
iteration number increases you have to,0
number increases you have to move,0
increases you have to move closer,0
you have to move closer and,0
have to move closer and closer,0
to move closer and closer to,0
move closer and closer to xter,1
closer and closer to xter isn't,0
and closer to xter isn't it,0
closer to xter isn't it this,0
to xter isn't it this is,0
xter isn't it this is optimal,0
isn't it this is optimal solution,0
it this is optimal solution this,0
this is optimal solution this is,0
is optimal solution this is your,0
optimal solution this is your objective,0
solution this is your objective objective,0
this is your objective objective is,0
is your objective objective is as,0
your objective objective is as your,0
objective objective is as your iteration,0
objective is as your iteration number,0
is as your iteration number increases,0
as your iteration number increases you,0
your iteration number increases you have,0
iteration number increases you have to,0
number increases you have to move,0
increases you have to move closer,0
you have to move closer and,0
have to move closer and closer,0
to move closer and closer to,0
move closer and closer to your,0
closer and closer to your xar,0
and closer to your xar now,0
closer to your xar now let's,0
to your xar now let's see,0
your xar now let's see how,0
xar now let's see how it,0
now let's see how it works,0
let's see how it works let's,0
see how it works let's understand,0
how it works let's understand gradient,0
it works let's understand gradient descent,0
works let's understand gradient descent geometrically,0
let's understand gradient descent geometrically first,0
understand gradient descent geometrically first let's,0
gradient descent geometrically first let's take,0
descent geometrically first let's take a,0
geometrically first let's take a simple,0
first let's take a simple example,0
let's take a simple example let,0
take a simple example let me,0
a simple example let me take,0
simple example let me take one,0
example let me take one simple,0
let me take one simple example,0
me take one simple example here,0
take one simple example here just,0
one simple example here just see,0
simple example here just see this,0
example here just see this one,0
here just see this one yes,0
just see this one yes this,0
see this one yes this is,0
this one yes this is simp,0
one yes this is simp let's,0
yes this is simp let's take,0
this is simp let's take a,0
is simp let's take a simple,0
simp let's take a simple example,0
let's take a simple example this,0
take a simple example this is,0
a simple example this is uh,0
simple example this is uh let's,0
example this is uh let's uh,0
this is uh let's uh let's,0
is uh let's uh let's assume,0
uh let's uh let's assume i,0
let's uh let's assume i have,0
uh let's assume i have a,0
let's assume i have a curve,0
assume i have a curve like,0
i have a curve like this,0
have a curve like this so,0
a curve like this so for,0
curve like this so for this,0
like this so for this curve,0
this so for this curve i,0
so for this curve i want,0
for this curve i want to,0
this curve i want to find,0
curve i want to find what,0
i want to find what we,0
want to find what we have,0
to find what we have to,0
find what we have to find,0
what we have to find here,0
we have to find here we,0
have to find here we have,0
to find here we have to,0
find here we have to find,0
here we have to find we,0
we have to find we have,0
have to find we have to,0
to find we have to find,0
find we have to find which,0
we have to find which one,0
have to find which one we,0
to find which one we have,0
find which one we have to,0
which one we have to find,0
one we have to find we,0
we have to find we have,0
have to find we have to,0
to find we have to find,0
find we have to find x,0
we have to find x star,0
have to find x star we,0
to find x star we have,0
find x star we have to,0
x star we have to find,0
star we have to find xar,0
we have to find xar we,0
have to find xar we would,0
to find xar we would like,0
find xar we would like to,0
xar we would like to find,0
we would like to find xar,1
would like to find xar isn't,0
like to find xar isn't it,0
to find xar isn't it what,0
find xar isn't it what is,0
xar isn't it what is my,0
isn't it what is my xar,0
it what is my xar xar,0
what is my xar xar equal,0
is my xar xar equal to,0
my xar xar equal to xr,0
xar xar equal to xr equal,0
xar equal to xr equal to,0
equal to xr equal to arin,0
to xr equal to arin argumen,0
xr equal to arin argumen of,0
equal to arin argumen of f,0
to arin argumen of f ofx,0
arin argumen of f ofx over,0
argumen of f ofx over x,1
of f ofx over x isn't,0
f ofx over x isn't it,0
ofx over x isn't it this,0
over x isn't it this is,0
x isn't it this is what,0
isn't it this is what i,0
it this is what i want,0
this is what i want to,0
is what i want to find,0
what i want to find imagine,0
i want to find imagine if,0
want to find imagine if i,0
to find imagine if i want,0
find imagine if i want to,0
imagine if i want to find,0
if i want to find maxima,0
i want to find maxima always,0
want to find maxima always remember,0
to find maxima always remember if,0
find maxima always remember if you,0
maxima always remember if you want,0
always remember if you want to,0
remember if you want to minimize,0
if you want to minimize that,0
you want to minimize that that,0
want to minimize that that function,0
to minimize that that function min,0
minimize that that function min min,0
that that function min min of,0
that function min min of f,0
function min min of f ofx,0
min min of f ofx is,0
min of f ofx is equalent,0
of f ofx is equalent to,0
f ofx is equalent to what,0
ofx is equalent to what is,0
is equalent to what is minimum,0
equalent to what is minimum of,0
to what is minimum of f,0
what is minimum of f ofx,0
is minimum of f ofx in,0
minimum of f ofx in optimization,0
of f ofx in optimization your,0
f ofx in optimization your xar,0
ofx in optimization your xar is,0
in optimization your xar is arment,0
optimization your xar is arment of,0
your xar is arment of f,0
xar is arment of f ofx,0
is arment of f ofx minimum,0
arment of f ofx minimum of,0
of f ofx minimum of f,0
f ofx minimum of f ofx,0
ofx minimum of f ofx is,0
minimum of f ofx is maximum,0
of f ofx is maximum of,0
f ofx is maximum of minus,0
ofx is maximum of minus f,0
is maximum of minus f ofx,0
maximum of minus f ofx this,0
of minus f ofx this is,0
minus f ofx this is very,0
f ofx this is very very,0
ofx this is very very simple,0
this is very very simple rule,0
is very very simple rule in,0
very very simple rule in optimization,0
very simple rule in optimization or,0
simple rule in optimization or maximization,0
rule in optimization or maximization of,0
in optimization or maximization of f,0
optimization or maximization of f ofx,0
or maximization of f ofx is,0
maximization of f ofx is equal,0
of f ofx is equal to,0
f ofx is equal to some,0
ofx is equal to some you,0
is equal to some you can,0
equal to some you can write,0
to some you can write it,0
some you can write it as,0
you can write it as minimum,0
can write it as minimum of,0
write it as minimum of min,0
it as minimum of min -,0
as minimum of min - f,0
minimum of min - f ofx,0
of min - f ofx so,0
min - f ofx so if,0
- f ofx so if you,0
f ofx so if you learn,0
ofx so if you learn if,0
so if you learn if so,0
if you learn if so if,0
you learn if so if you,0
learn if so if you learn,0
if so if you learn for,0
so if you learn for minima,0
if you learn for minima you,0
you learn for minima you can,0
learn for minima you can do,0
for minima you can do same,0
minima you can do same same,0
you can do same same same,0
can do same same same thing,0
do same same same thing for,0
same same same thing for maxima,1
same same thing for maxima isn't,0
same thing for maxima isn't it,0
thing for maxima isn't it by,0
for maxima isn't it by just,0
maxima isn't it by just changing,0
isn't it by just changing the,0
it by just changing the sign,0
by just changing the sign of,0
just changing the sign of the,0
changing the sign of the function,0
the sign of the function if,0
sign of the function if you,0
of the function if you know,0
the function if you know the,0
function if you know the minima,0
if you know the minima just,0
you know the minima just you,0
know the minima just you can,0
the minima just you can just,0
minima just you can just by,0
just you can just by changing,0
you can just by changing the,0
can just by changing the sign,0
just by changing the sign you,0
by changing the sign you can,0
changing the sign you can convert,0
the sign you can convert maxim,0
sign you can convert maxim of,0
you can convert maxim of f,0
can convert maxim of f ofx,0
convert maxim of f ofx is,0
maxim of f ofx is minimum,0
of f ofx is minimum of,0
f ofx is minimum of minus,0
ofx is minimum of minus f,0
is minimum of minus f ofx,0
minimum of minus f ofx minimum,0
of minus f ofx minimum of,0
minus f ofx minimum of f,0
f ofx minimum of f ofx,0
ofx minimum of f ofx is,0
minimum of f ofx is maximum,0
of f ofx is maximum of,0
f ofx is maximum of minus,0
ofx is maximum of minus f,0
is maximum of minus f ofx,0
maximum of minus f ofx so,0
of minus f ofx so if,0
minus f ofx so if you,0
f ofx so if you know,0
ofx so if you know how,0
so if you know how to,0
if you know how to find,0
you know how to find maxima,0
know how to find maxima and,0
how to find maxima and minima,0
to find maxima and minima you,0
find maxima and minima you can,0
maxima and minima you can always,0
and minima you can always calculate,0
minima you can always calculate other,0
you can always calculate other one,0
can always calculate other one is,0
always calculate other one is basically,0
calculate other one is basically maximum,0
other one is basically maximum of,0
one is basically maximum of fx,0
is basically maximum of fx equal,0
basically maximum of fx equal to,0
maximum of fx equal to minimum,0
of fx equal to minimum of,0
fx equal to minimum of minus,0
equal to minimum of minus f,0
to minimum of minus f of,0
minimum of minus f of x,0
of minus f of x it,0
minus f of x it is,0
f of x it is easy,0
of x it is easy to,0
x it is easy to find,0
it is easy to find other,0
is easy to find other thing,0
easy to find other thing that's,0
to find other thing that's what,0
find other thing that's what it,0
other thing that's what it says,0
thing that's what it says hence,0
that's what it says hence let's,0
what it says hence let's study,0
it says hence let's study for,0
says hence let's study for minima,0
hence let's study for minima let's,0
let's study for minima let's study,0
study for minima let's study for,0
for minima let's study for minima,0
minima let's study for minima if,0
let's study for minima if you,0
study for minima if you see,0
for minima if you see visually,0
minima if you see visually what,0
if you see visually what is,0
you see visually what is this,0
see visually what is this what,0
visually what is this what is,0
what is this what is this,0
is this what is this particular,0
this what is this particular point,0
what is this particular point this,0
is this particular point this point,0
this particular point this point what,0
particular point this point what is,0
point this point what is this,0
this point what is this this,0
point what is this this point,0
what is this this point is,0
is this this point is minima,0
this this point is minima because,0
this point is minima because every,0
point is minima because every other,0
is minima because every other point,0
minima because every other point value,0
because every other point value is,0
every other point value is greater,0
other point value is greater than,0
point value is greater than this,0
value is greater than this value,0
is greater than this value of,0
greater than this value of f,0
than this value of f of,0
this value of f of x,1
value of f of x isn't,0
of f of x isn't it,1
f of x isn't it isn't,0
of x isn't it isn't it,0
x isn't it isn't it f,0
isn't it isn't it f ofx,0
it isn't it f ofx is,0
isn't it f ofx is greater,0
it f ofx is greater at,0
f ofx is greater at every,0
ofx is greater at every other,0
is greater at every other point,0
greater at every other point except,0
at every other point except at,0
every other point except at origin,0
other point except at origin so,0
point except at origin so now,0
except at origin so now let's,0
at origin so now let's go,0
origin so now let's go to,0
so now let's go to the,0
now let's go to the core,0
let's go to the core idea,0
go to the core idea core,0
to the core idea core geometrical,0
the core idea core geometrical intuition,0
core idea core geometrical intuition the,0
idea core geometrical intuition the core,0
core geometrical intuition the core geometrical,0
geometrical intuition the core geometrical intuition,0
intuition the core geometrical intuition of,0
the core geometrical intuition of gradient,0
core geometrical intuition of gradient descent,0
geometrical intuition of gradient descent geometry,0
intuition of gradient descent geometry works,0
of gradient descent geometry works like,0
gradient descent geometry works like this,0
descent geometry works like this let's,0
geometry works like this let's take,0
works like this let's take a,0
like this let's take a point,0
this let's take a point here,0
let's take a point here this,0
take a point here this is,0
a point here this is my,0
point here this is my point,0
here this is my point in,0
this is my point in this,0
is my point in this one,0
my point in this one just,0
point in this one just see,0
in this one just see this,0
this one just see this one,0
one just see this one its,0
just see this one its gradient,0
see this one its gradient is,0
this one its gradient is just,0
one its gradient is just if,0
its gradient is just if i,0
gradient is just if i take,0
is just if i take let,0
just if i take let me,0
if i take let me consider,0
i take let me consider this,0
take let me consider this one,0
let me consider this one yes,0
me consider this one yes if,0
consider this one yes if i,0
this one yes if i take,0
one yes if i take a,0
yes if i take a point,0
if i take a point here,0
i take a point here if,0
take a point here if i,0
a point here if i take,0
point here if i take a,0
here if i take a point,0
if i take a point here,0
i take a point here what,0
take a point here what i,0
a point here what i have,0
point here what i have to,0
here what i have to do,0
what i have to do it,0
i have to do it gradient,0
have to do it gradient is,0
to do it gradient is positive,0
do it gradient is positive slope,1
it gradient is positive slope isn't,0
gradient is positive slope isn't it,0
is positive slope isn't it what,0
positive slope isn't it what is,0
slope isn't it what is the,0
isn't it what is the gradient,0
it what is the gradient if,0
what is the gradient if i,0
is the gradient if i take,0
the gradient if i take tangent,0
gradient if i take tangent if,0
if i take tangent if i,0
i take tangent if i consider,0
take tangent if i consider this,0
tangent if i consider this theta,0
if i consider this theta this,0
i consider this theta this theta,0
consider this theta this theta is,0
this theta this theta is between,0
theta this theta is between 0,0
this theta is between 0 and,0
theta is between 0 and 90,0
is between 0 and 90 0,0
between 0 and 90 0 less,0
0 and 90 0 less than,0
and 90 0 less than theta,0
90 0 less than theta less,0
0 less than theta less than,0
less than theta less than 90,0
than theta less than 90 therefore,0
theta less than 90 therefore tan,0
less than 90 therefore tan theta,0
than 90 therefore tan theta it,0
90 therefore tan theta it is,0
therefore tan theta it is a,0
tan theta it is a positive,0
theta it is a positive value,0
it is a positive value what,0
is a positive value what is,0
a positive value what is the,0
positive value what is the slope,0
value what is the slope here,0
what is the slope here slope,0
is the slope here slope is,0
the slope here slope is here,0
slope here slope is here slope,0
here slope is here slope here,0
slope is here slope here the,0
is here slope here the slope,0
here slope here the slope at,0
slope here the slope at this,0
here the slope at this this,0
the slope at this this slope,0
slope at this this slope is,0
at this this slope is negative,0
this this slope is negative why,0
this slope is negative why because,0
slope is negative why because this,0
is negative why because this this,0
negative why because this this is,0
why because this this is this,0
because this this is this is,0
this this is this is this,0
this is this is this is,0
is this is this is positive,0
this is this is positive slope,0
is this is positive slope here,0
this is positive slope here the,0
is positive slope here the here,0
positive slope here the here it,0
slope here the here it is,0
here the here it is uh,0
the here it is uh the,0
here it is uh the slope,0
it is uh the slope here,0
is uh the slope here is,0
uh the slope here is zero,1
the slope here is zero isn't,0
slope here is zero isn't it,0
here is zero isn't it the,0
is zero isn't it the slope,0
zero isn't it the slope on,0
isn't it the slope on on,0
it the slope on on one,0
the slope on on one side,0
slope on on one side of,0
on on one side of minimum,1
on one side of minimum isn't,0
one side of minimum isn't it,0
side of minimum isn't it on,0
of minimum isn't it on one,0
minimum isn't it on one side,0
isn't it on one side of,0
it on one side of minimum,0
on one side of minimum is,0
one side of minimum is positive,0
side of minimum is positive here,0
of minimum is positive here what,0
minimum is positive here what happens,0
is positive here what happens just,0
positive here what happens just if,0
here what happens just if you,0
what happens just if you observe,0
happens just if you observe here,0
just if you observe here this,0
if you observe here this if,0
you observe here this if you,0
observe here this if you consider,0
here this if you consider this,0
this if you consider this point,0
if you consider this point this,0
you consider this point this is,0
consider this point this is the,0
this point this is the tangent,0
point this is the tangent what,0
this is the tangent what is,0
is the tangent what is the,0
the tangent what is the tan,0
tangent what is the tan theta,0
what is the tan theta here,0
is the tan theta here tan,0
the tan theta here tan theta,0
tan theta here tan theta is,0
theta here tan theta is negative,1
here tan theta is negative isn't,0
tan theta is negative isn't it,0
theta is negative isn't it what,0
is negative isn't it what why,0
negative isn't it what why why,0
isn't it what why why because,0
it what why why because here,0
what why why because here this,0
why why because here this you,0
why because here this you can,0
because here this you can you,0
here this you can you can,0
this you can you can see,0
you can you can see the,0
can you can see the angle,0
you can see the angle here,1
can see the angle here isn't,0
see the angle here isn't it,0
the angle here isn't it because,0
angle here isn't it because of,0
here isn't it because of this,0
isn't it because of this theta,0
it because of this theta with,0
because of this theta with respect,0
of this theta with respect to,0
this theta with respect to xaxis,0
theta with respect to xaxis we,0
with respect to xaxis we already,0
respect to xaxis we already discussed,0
to xaxis we already discussed all,0
xaxis we already discussed all these,0
we already discussed all these things,0
already discussed all these things where,0
discussed all these things where it,0
all these things where it is,0
these things where it is positive,0
things where it is positive where,0
where it is positive where it,0
it is positive where it is,0
is positive where it is negative,0
positive where it is negative in,0
where it is negative in my,0
it is negative in my previous,0
is negative in my previous lectures,0
negative in my previous lectures this,0
in my previous lectures this i,0
my previous lectures this i discussed,0
previous lectures this i discussed this,0
lectures this i discussed this i,0
this i discussed this i discussed,0
i discussed this i discussed this,0
discussed this i discussed this also,0
this i discussed this also i,0
i discussed this also i discussed,0
discussed this also i discussed is,1
this also i discussed is isn't,0
also i discussed is isn't it,0
i discussed is isn't it therefore,0
discussed is isn't it therefore let,0
is isn't it therefore let me,0
isn't it therefore let me repeat,0
it therefore let me repeat its,0
therefore let me repeat its gradient,0
let me repeat its gradient is,0
me repeat its gradient is positive,0
repeat its gradient is positive slope,1
its gradient is positive slope isn't,0
gradient is positive slope isn't it,0
is positive slope isn't it the,0
positive slope isn't it the theta,0
slope isn't it the theta lies,0
isn't it the theta lies between,0
it the theta lies between why,0
the theta lies between why it,0
theta lies between why it is,0
lies between why it is positive,0
between why it is positive theta,0
why it is positive theta lies,0
it is positive theta lies between,0
is positive theta lies between 0,0
positive theta lies between 0 and,0
theta lies between 0 and 9,0
lies between 0 and 9 90,0
between 0 and 9 90 this,0
0 and 9 90 this is,0
and 9 90 this is posit,0
9 90 this is posit this,0
90 this is posit this is,0
this is posit this is positive,0
is posit this is positive value,0
posit this is positive value what,0
this is positive value what is,0
is positive value what is the,0
positive value what is the slope,0
value what is the slope here,0
what is the slope here slope,0
is the slope here slope at,0
the slope here slope at minima,0
slope here slope at minima what,0
here slope at minima what is,0
slope at minima what is the,0
at minima what is the slope,0
minima what is the slope here,0
what is the slope here this,0
is the slope here this is,0
the slope here this is minima,1
slope here this is minima isn't,0
here this is minima isn't it,0
this is minima isn't it what,0
is minima isn't it what is,0
minima isn't it what is slope,0
isn't it what is slope at,0
it what is slope at minima,0
what is slope at minima is,0
is slope at minima is zero,0
slope at minima is zero the,0
at minima is zero the slope,0
minima is zero the slope on,0
is zero the slope on one,0
zero the slope on one side,0
the slope on one side of,0
slope on one side of minima,0
on one side of minima is,0
one side of minima is positive,0
side of minima is positive let's,0
of minima is positive let's look,0
minima is positive let's look at,0
is positive let's look at other,0
positive let's look at other side,0
let's look at other side of,0
look at other side of minima,0
at other side of minima what,0
other side of minima what is,0
side of minima what is the,0
of minima what is the slope,0
minima what is the slope here,0
what is the slope here just,0
is the slope here just we,0
the slope here just we will,0
slope here just we will try,0
here just we will try to,0
just we will try to understand,0
we will try to understand slope,0
will try to understand slope here,0
try to understand slope here the,0
to understand slope here the slope,0
understand slope here the slope here,0
slope here the slope here is,0
here the slope here is negative,1
the slope here is negative isn't,0
slope here is negative isn't it,0
here is negative isn't it what,0
is negative isn't it what is,0
negative isn't it what is the,0
isn't it what is the angle,0
it what is the angle with,0
what is the angle with x-axis,0
is the angle with x-axis this,0
the angle with x-axis this theta,0
